Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wikipedia Search,Chrome 126.0.0.0,,,27-06-2024 14:12:45,27-06-2024 14:13:57,1m - 12.484s,PASSED
,,,,,,,
Test Cases/Wikipedia/Search Wikipedia,Chrome 126.0.0.0,,,27-06-2024 14:12:45,27-06-2024 14:13:57,1m - 11.971s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,27-06-2024 14:12:46,27-06-2024 14:13:44,58.329s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:44,27-06-2024 14:13:47,3.069s,PASSED
"setText(findTestObject(""Wikipedia/Search box wikipedia""), ""bob marley"")",Chrome 126.0.0.0,,,27-06-2024 14:13:47,27-06-2024 14:13:48,1.012s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:48,27-06-2024 14:13:51,3.007s,PASSED
"click(findTestObject(""Wikipedia/button search wikipedia""))",Chrome 126.0.0.0,,,27-06-2024 14:13:51,27-06-2024 14:13:54,2.976s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:54,27-06-2024 14:13:57,3.015s,PASSED
